the family provides the home;the family supplies the home;0.8461
the government provides the cash;the government leaves the cash;0.2967
the government provides the cash;the government supplies the cash;0.9340
the man provides the money;the man leaves the money;0.5824
the man provides the money;the man supplies the money;0.9450
the mother provides the baby;the mother leaves the baby;0.3296
the mother provides the baby;the mother supplies the baby;0.7362
the employer provides the training;the employer supplies the training;0.9450
the family provides the home;the family leaves the home;0.2637
the court tries the offence;the court judges the offence;0.7032
the scholar writes the book;the scholar spells the book;0.3516
the writer writes the book;the writer publishes the book;0.5714
the user runs the application;the user operates the application;0.7582
the student writes the name;the student spells the name;0.6813
the child writes the word;the child publishes the word;0.4065
the child writes the word;the child spells the word;0.6703
the scholar writes the book;the scholar publishes the book;0.7142
the people run the round;the people move the round;0.4835
the user runs the application;the user moves the application;0.1868
the user writes the word;the user spells the word;0.5934
the student writes the name;the student publishes the name;0.3846
the river meets the sea;the river visits the sea;0.3186
the sight meets the eye;the sight satisfies the eye;0.3626
the system meets the criterion;the system visits the criterion;0.2307
the child meets the house;the child satisfies the house;0.2307
the people run the company;the people operate the company;0.9340
the user writes the word;the user publishes the word;0.4065
the man writes the song;the man publishes the song;0.5494
the people write the letter;the people spell the letter;0.2857
the people write the letter;the people publish the letter;0.5164
the user writes the software;the user spells the software;0.1978
the user writes the software;the user publishes the software;0.5604
the specialist writes the papers;the specialist spells the papers;0.3076
the specialist writes the papers;the specialist publishes the papers;0.6813
the teacher writes the book;the teacher spells the book;0.2527
the teacher writes the book;the teacher publishes the book;0.6263
the writer writes the book;the writer spells the book;0.2857
the court tries the offence;the court tests the offence;0.3736
the judge tries the action;the judge judges the action;0.4615
the justice tries the king;the justice tests the king;0.4395
the man tries the experiment;the man judges the experiment;0.2967
the court tries the case;the court tests the case;0.5164
the justice tries the king;the justice judges the king;0.7142
the tribunal tries the crime;the tribunal tests the crime;0.4285
the court tries the case;the court judges the case;0.7472
the judge tries the action;the judge tests the action;0.4725
the tribunal tries the crime;the tribunal judges the crime;0.6923
the road runs parallel;the road operates parallel;0.2527
the sweat runs the face;the sweat moves the face;0.2527
the sweat runs the face;the sweat operates the face;0.1648
the machine runs the program;the machine moves the program;0.2307
the runway runs parallel;the runway operates parallel;0.3626
the shiver runs down the spine;the shiver moves down the spine;0.3736
the shiver runs down the spine;the shiver operates the spine;0.2417
the road runs parallel;the road moves parallel;0.2967
the people run the round;the people operate the round;0.3846
the runway runs parallel;the runway moves parallel;0.3076
the student meets the requirement;the student visits the requirement;0.2087
the system meets the criterion;the system satisfies the criterion;0.9780
the service meets the need;the service visits the need;0.2527
the system meets the requirement;the system satisfies the requirement;0.9120
the man writes the song;the man spells the song;0.9560
the service meets the need;the service satisfies the need;0.9670
the beach meets the standard;the beach visits the standard;0.2307
the student meets the requirement;the student satisfies the requirement;0.9670
the system meets the requirement;the system visits the requirement;0.2087
the beach meets the standard;the beach satisfies the standard;0.9340
the people try the door;the people judge the door;0.2197
the man tries the experiment;the man tests the experiment;0.6263
the people try the sniffing;the people judge the sniffing;0.2417
the people try the door;the people tests the door;0.7912
the demonstrator tries the building;the demonstrator judges the building;0.2747
the people try the sniffing;the people tests the sniffing;0.5934
the people try the program;the people judge the program;0.4285
the demonstrator tries the building;the demonstrator tests the building;0.7032
the employer provides the training;the employer leaves the training;0.1978
the people try the program;the people tests the program;0.8241
the river meets the sea;the river satisfies the sea;0.2637
the child meets the house;the child visits the house;0.3956
the boy meets the girl;the boy satisfies the girl;0.3186
the family runs the hotel;the family operates the hotel;0.9010
the family runs the hotel;the family moves the hotel;0.1758
the system runs the application;the system operates the application;0.7252
the system runs the application;the system moves the application;0.1538
the people run the company;the people moves the company;0.1978
the machine runs the program;the machine operates the program;0.7032
the representative meets the official;the representative satisfies the official;0.2857
the boy meets the girl;the boy visits the girl;0.6373
the representative meets the official;the representative visits the official;0.8351
the people buy the house;the people purchase the house;0.9780
the people buy the house;the people bribe the house;0.1978
the people buy the product;the people purchase the product;0.9890
the people buy the product;the people bribe the product;0.2087
the investor buys the share;the investor purchases the share;1.0
the investor buys the share;the investor bribes the share;0.1868
the employee buys the property;the employee purchases the property;1.0
the employee buys the property;the employee bribes the property;0.1648
the supporter buys the ticket;the supporter purchases the ticket;0.9890
the supporter buys the ticket;the supporter bribes the ticket;0.1758
the system provides the facility;the system leaves the facility;0.2380
the company provides the service;the company leaves the service;0.2142
the study provides the information;the study supplies the information;0.9166
the study provides the information;the study leaves the information;0.3452
the school provides the education;the school supplies the education;0.8809
the man says the success;the man alleges the success;0.4761
the study provides the evidence;the study supplies the evidence;0.9761
the study provides the evidence;the study leaves the evidence;0.2857
the company provides the service;the company supplies the service;0.9285
the school provides the education;the school leaves the education;0.2142
the system provides the facility;the system supplies the facility;0.9285
the cinema shows the film;the cinema expresses the film;0.2738
the artist shows the work;the artist pictures the work;0.3571
the child shows the sign;the child expresses the sign;0.3571
the map shows the location;the map pictures the location;0.6547
the map shows the location;the map expresses the location;0.4285
the poll shows the support;the poll pictures the support;0.3571
the artist shows the work;the artist expresses the work;0.3571
the map shows the area;the map pictures the area;0.7976
the map shows the area;the map expresses the area;0.4166
the child shows the sign;the child pictures the sign;0.3571
the man says the success;the man states the success;0.6547
the survey says the recovery;the survey alleges the recovery;0.5119
the people say the success;the people state the success;0.6428
the spokesman says the decision;the spokesman alleges the decision;0.4285
the survey says the recovery;the survey states the recovery;0.6309
the people say the success;the people allege the success;0.4642
the producer says the favour;the producer states the favour;0.5952
the priest says the mass;the priest alleges the mass;0.2261
the spokesman says the decision;the spokesman states the decision;0.7857
the producer says the favour;the producer alleges the favour;0.3809
the poll shows the support;the poll expresses the support;0.6904
the child shows the interest;the child pictures the interest;0.2142
the study shows the correlation;the study expresses the correlation;0.6190
the table shows the result;the table pictures the result;0.4880
the table shows the result;the table expresses the result;0.7261
the child shows interest;the child expresses interest;0.8928
the figure shows the increase;the figure pictures the increase;0.5833
the figure shows the increase;the figure expresses the increase;0.6428
the study shows the correlation;the study pictures the correlation;0.3690
the man says the sentence;the man alleges the sentence;0.4880
the speaker says the word;the speaker states the word;0.6666
the cinema shows the film;the cinema pictures the film;0.4761
the man says the sentence;the man states the sentence;0.7738
the people say the prayer;the people allege the prayer;0.2619
the priest says the prayer;the priest states the prayer;0.5
the speaker says the word;the speaker alleges the word;0.3452
the people say the prayer;the people states the prayer;0.5833
the priest says the prayer;the priest alleges the prayer;0.2738
the priest says the mass;the priest states the mass;0.4642
the patient draws the figure;the patient attracts the figure;0.2857
the woman draws the hair;the woman depicts the hair;0.7023
the child draws the picture;the child attracts the picture;0.2142
the table draws the eye;the table depicts the eye;0.3095
the parent draws the line;the parent attracts the line;0.2619
the child draws the picture;the child depicts the picture;0.7261
the man draws the sword;the man attracts the sword;0.1904
the parent draws the line;the parent depicts the line;0.4523
the woman draws the hair;the woman attracts the hair;0.2380
the man draws the sword;the man depicts the sword;0.4642
the lawyer accepts the conviction;the lawyer bears the conviction;0.4761
the shareholder accepts the offer;the shareholder bears the offer;0.4404
the government accepts the proposal;the government receives the proposal;0.3690
the government accepts the proposal;the government bears the proposal;0.3809
the patient accepts the treatment;the patient receives the treatment;0.5714
the patient draws the figure;the patient depicts the figure;0.7976
the government accepts the recommendation;the government receives the recommendation;0.4761
the government accepts the recommendation;the government bears the recommendation;0.5
the shareholder accepts the offer;the shareholder receives the offer;0.5119
the patient accepts the treatment;the patient bears the treatment;0.5357
the member accepts the share;the member receives the share;0.7261
the society accepts the charge;the society receives the charge;0.4047
the magazine accepts the liability;the magazine bears the liability;0.7380
the magazine accepts the liability;the magazine receives the liability;0.3928
the management accepts the responsibility;the management bears the responsibility;0.75
the management accepts the responsibility;the management receives the responsibility;0.3690
the user accepts the responsibility;the user bears the responsibility;0.7023
the user accepts the responsibility;the user receives the responsibility;0.4047
the member accepts the share;the member bears the share;0.3690
the lawyer accepts the conviction;the lawyer receives the conviction;0.3690
the society accepts the charge;the society bears the charge;0.7023
the politician buys the election;the politician purchases the election;0.6547
the people buy the security;the people bribe the security;0.5
the people buy the security;the people purchase the security;0.8809
the model buys the behaviour;the model purchases the behaviour;0.6666
the firm buys the politician;the firm bribes the politician;0.8928
the firm buys the politician;the firm purchases the politician;0.6190
the politician buys the election;the politician bribes the election;0.5714
the weapon buys the chance;the weapon purchases the chance;0.5119
the model buys the behaviour;the model bribes the behaviour;0.2380
the claimant draws the benefit;the claimant depicts the benefit;0.2142
the table draws the eye;the table attracts the eye;0.7738
the male draws the female;the male depicts the female;0.7023
the claimant draws the benefit;the claimant attracts the benefit;0.2976
the proposal draws the criticism;the proposal depicts the criticism;0.2619
the male draws the female;the male attracts the female;0.5952
the report draws the attention;the report depicts the attention;0.25
the proposal draws criticism;the proposal attracts criticism;0.9166
the weapon buys the chance;the weapon bribes the chance;0.25
the report draws attention;the report attracts attention;0.9285
